Date,Open,High,Low,Close,Adj Close,Volume
2019-12-30,164.300003,164.380005,162.910004,163.190002,162.383377,4503500
2019-12-31,163.000000,163.759995,162.720001,163.619995,162.811249,3262400
2020-01-02,164.679993,164.979996,163.779999,164.979996,164.164520,3291100
2020-01-03,163.289993,164.470001,163.009995,163.929993,163.119720,3625400
2020-01-06,162.919998,164.520004,162.830002,164.490005,163.676956,6813800
2020-01-07,164.270004,164.460007,163.779999,164.100006,163.288879,2498400
2020-01-08,164.199997,165.550003,164.039993,164.910004,164.094879,4244800
2020-01-09,165.809998,165.979996,165.360001,165.940002,165.119781,2216900
2020-01-10,166.259995,166.300003,165.199997,165.460007,164.642166,4023000
2020-01-13,166.000000,166.630005,165.520004,166.589996,165.766571,3997100
2020-01-14,166.550003,167.119995,166.169998,166.500000,165.677017,3062000
2020-01-15,166.500000,167.399994,166.419998,166.910004,166.084991,2479200
2020-01-16,167.710007,168.369995,167.610001,168.339996,167.507919,2205600
2020-01-17,169.009995,169.009995,168.369995,168.759995,167.925842,2272000
2020-01-21,168.399994,168.850006,168.169998,168.399994,167.567627,3174200
2020-01-22,168.929993,169.320007,168.350006,168.500000,167.667130,2113600
2020-01-23,168.110001,168.770004,167.389999,168.690002,167.856201,2370000
2020-01-24,169.089996,169.089996,166.330002,167.089996,166.264099,3292500
2020-01-27,164.229996,165.320007,163.839996,164.580002,163.766510,4692800
2020-01-28,165.330002,166.669998,165.059998,166.169998,165.348648,4010700
2020-01-29,166.960007,166.990005,165.919998,166.059998,165.239197,1751700
2020-01-30,165.000000,166.610001,164.470001,166.460007,165.637222,2835900
2020-01-31,166.160004,166.210007,163.039993,163.520004,162.711746,4525300
2020-02-03,164.350006,165.830002,164.309998,164.960007,164.144638,2783900
2020-02-04,166.970001,168.020004,166.809998,167.559998,166.731781,2732700
2020-02-05,169.130005,169.350006,168.169998,169.210007,168.373627,4133700
2020-02-06,169.759995,169.830002,169.190002,169.679993,168.841293,2202300
2020-02-07,169.050003,169.399994,168.410004,168.710007,167.876099,2579200
2020-02-10,168.279999,169.949997,168.259995,169.949997,169.109955,2494100
2020-02-11,170.740005,171.250000,170.110001,170.419998,169.577637,2921700
2020-02-12,171.240005,171.550003,170.910004,171.490005,170.642365,2154100
2020-02-13,170.699997,171.929993,170.550003,171.419998,170.572693,2827500
2020-02-14,171.600006,171.770004,170.979996,171.699997,170.851318,2527800
2020-02-18,171.270004,171.539993,170.529999,171.300003,170.453293,2459400
2020-02-19,171.919998,172.559998,171.770004,172.169998,171.318985,2488100
2020-02-20,171.960007,172.429993,169.899994,171.649994,170.801559,7061600
2020-02-21,170.949997,171.029999,169.399994,169.889999,169.050262,2983500
2020-02-24,164.500000,165.869995,163.589996,164.300003,163.487900,8710900
2020-02-25,165.039993,165.389999,158.770004,159.279999,158.492706,10112300
2020-02-26,160.009995,161.809998,158.000000,158.399994,157.617050,8210300
2020-02-27,155.039993,157.529999,151.399994,151.460007,150.711365,14384200
2020-02-28,146.419998,150.589996,145.300003,150.440002,149.696396,22283300
2020-03-02,151.410004,156.820007,149.580002,156.669998,155.895599,12071600
